Join Date,Name,Completed
"Jan 23, 2021, 9:00:59 PM",January Run Climbing Challenge,false
"Jan 23, 2021, 9:01:03 PM",January Fresh Start Challenge,false
"Jan 23, 2021, 9:01:15 PM",Start Your Year with ROUVY,false
"Jan 23, 2021, 9:01:17 PM",St. Jude Resolutions Challenge,false
"Jan 23, 2021, 9:01:23 PM",Optimize Your Running with PWURE,true
"Feb 2, 2021, 11:42:36 PM",Nuzest Resolution Rev Up Challenge,false
"Feb 2, 2021, 11:42:44 PM",February Strength Training Challenge,false
"Feb 2, 2021, 11:43:50 PM",February Running Distance Challenge,false
"Feb 2, 2021, 11:43:53 PM",February Running Challenge,false
"Feb 2, 2021, 11:43:56 PM",February Running Endurance Challenge,false
"Feb 2, 2021, 11:44:01 PM",February 10K,false
"Feb 2, 2021, 11:44:02 PM",February 5K,true
"Feb 2, 2021, 11:44:03 PM",February Walk Challenge,false
"Feb 2, 2021, 11:44:04 PM",February Half Marathon,false
"Feb 2, 2021, 11:44:08 PM",February Run Climbing Challenge,false
"Mar 3, 2021, 8:45:05 PM",Brooks Runfulness Project Challenge,false
"Mar 3, 2021, 8:45:20 PM",March Running Distance Challenge,false
"Mar 3, 2021, 8:45:24 PM",March Running Challenge,false
"Mar 3, 2021, 8:45:28 PM",March Run Climbing Challenge,false
"Mar 3, 2021, 8:45:31 PM",March 5K,true
"Mar 3, 2021, 8:45:31 PM",March 10K,false
"Mar 3, 2021, 8:45:34 PM",March Half Marathon,false
"Mar 3, 2021, 8:45:45 PM","#CRUSHCOVID Challenge, by Elite & Toronto Hustle",false
"Mar 3, 2021, 8:45:47 PM",Crush It 4 Climate,false
"Apr 3, 2021, 10:09:09 PM",Smartwool Go Far. Feel Good. Challenge,false
"Apr 3, 2021, 10:09:17 PM",Le Col Project 200/200 Challenge,true
"Apr 3, 2021, 10:09:20 PM",April Half Marathon,false
"Apr 3, 2021, 10:09:22 PM",April 5K,true
"Apr 3, 2021, 10:09:24 PM",April 10K,true
"Apr 3, 2021, 10:09:29 PM",April Run Climbing Challenge,false
"Apr 3, 2021, 10:09:32 PM",April Running Challenge,false
"Apr 3, 2021, 10:09:33 PM",April Running Distance Challenge,false
"Apr 3, 2021, 10:09:37 PM",April Walk Challenge,false
"Apr 3, 2021, 10:09:48 PM",1% Better,false
"May 6, 2021, 7:13:28 AM",May Walk Challenge,false
"May 6, 2021, 7:13:32 AM",May Running Distance Challenge,false
"May 6, 2021, 7:13:35 AM",May Half Marathon,false
"May 6, 2021, 7:13:36 AM",May 5K,true
"May 6, 2021, 7:13:39 AM",May 10K,false
"May 6, 2021, 7:13:50 AM",May Run Climbing Challenge,false
"May 6, 2021, 7:13:52 AM",May Running Challenge,false
"May 6, 2021, 7:13:54 AM",May Running Endurance Challenge,false
"Jun 8, 2021, 8:12:33 PM",Backcountry 20:21 Adventure Challenge,false
"Jun 8, 2021, 8:12:36 PM",June Walking Challenge,false
"Jun 8, 2021, 8:12:39 PM",June Cycling Consistency Challenge,false
"Jun 8, 2021, 8:12:40 PM",June Running Distance Challenge,false
"Jun 8, 2021, 8:12:43 PM",June Cycling Climbing Challenge,false
"Jun 8, 2021, 8:12:46 PM",June Half Marathon,false
"Jun 8, 2021, 8:12:48 PM",June 5K,true
"Jun 8, 2021, 8:12:48 PM",June 10K,false
"Jun 8, 2021, 8:12:52 PM",June Cycling Challenge,false
"Jun 8, 2021, 8:12:55 PM",June Run Climbing Challenge,false
"Jun 8, 2021, 8:12:55 PM",June Running Endurance Challenge,false
"Jun 8, 2021, 8:12:57 PM",June Running Challenge,false
"Jun 8, 2021, 8:12:58 PM",June Walking Consistency Challenge,false
"Jun 8, 2021, 8:13:03 PM",June Long Run Challenge,false
"Jul 6, 2021, 2:00:23 AM",July 30-Hour Challenge,false
"Jul 6, 2021, 2:00:29 AM",July Walking Challenge,false
"Jul 6, 2021, 2:00:29 AM",July Cycling Consistency Challenge,false
"Jul 6, 2021, 2:00:33 AM",July Running Distance Challenge,false
"Jul 6, 2021, 2:00:34 AM",July Cycling Climbing Challenge,false
"Jul 6, 2021, 2:00:35 AM",July Cycling Challenge,false
"Jul 6, 2021, 2:00:36 AM",July Cycling Distance Challenge,false
"Jul 6, 2021, 2:00:40 AM",July Run Climbing Challenge,false
"Jul 6, 2021, 2:00:40 AM",July Running Endurance Challenge,false
"Jul 6, 2021, 2:00:42 AM",July Running Challenge,false
"Jul 6, 2021, 2:00:44 AM",July 10k,false
"Jul 6, 2021, 2:00:45 AM",July 5k,true
"Jul 6, 2021, 2:00:46 AM",July Half Marathon,false
"Jul 6, 2021, 2:00:48 AM",July Gran Fondo,false
"Aug 9, 2021, 11:12:26 PM",Momentous Find Your Podium Challenge,false
"Aug 9, 2021, 11:12:39 PM",August Walking Challenge,false
"Aug 9, 2021, 11:12:44 PM",August Running Distance Challenge,false
"Aug 9, 2021, 11:12:45 PM",August Cycling Challenge,false
"Aug 9, 2021, 11:12:50 PM",August Run Climbing Challenge,false
"Aug 9, 2021, 11:12:52 PM",August Running Endurance Challenge,false
"Aug 9, 2021, 11:12:52 PM",August Running Challenge,false
"Aug 9, 2021, 11:12:54 PM",August 10k,false
"Aug 9, 2021, 11:12:54 PM",August 5k,true
"Aug 9, 2021, 11:12:58 PM",August Half Marathon,false
"Aug 9, 2021, 11:13:00 PM",BREITLING x IRONMAN Challenge,false
"Aug 9, 2021, 11:13:05 PM",Le Col Rival Your Limits Challenge,false
"Aug 9, 2021, 11:13:08 PM",August Favorite Way 200K,false
"Aug 9, 2021, 11:13:11 PM",#TheHumanRace,true
"Aug 9, 2021, 11:13:16 PM",Laird Superfood Time Challenge,false
"Aug 9, 2021, 11:13:18 PM",Sweat with Picky Bar-osaurus,false
"Aug 9, 2021, 11:13:23 PM",ROKA Faster Farther Stronger 400,false
"Sep 2, 2021, 5:43:07 PM",Le Col Threshold 240,false
"Sep 2, 2021, 5:43:08 PM",September Walking Challenge,false
"Sep 2, 2021, 5:43:10 PM",September Cycling Consistency Challenge,false
"Sep 2, 2021, 5:43:18 PM",September Running Distance Challenge,false
"Sep 2, 2021, 5:43:21 PM",September Cycling Challenge,false
"Sep 2, 2021, 5:43:26 PM",September Running Challenge,false
"Sep 2, 2021, 5:43:28 PM",September 10k,false
"Sep 2, 2021, 5:43:29 PM",September 5k,true
"Sep 2, 2021, 5:43:32 PM",September Half Marathon,false
"Sep 2, 2021, 5:43:35 PM",Gatorade Endurance Fuel to Unlock Your Best Challenge,false
"Sep 2, 2021, 5:43:41 PM",ULTRA Beer Run,false
"Sep 2, 2021, 5:43:42 PM",Therabody Double Down 8 Hour Challenge,false
"Sep 2, 2021, 5:43:48 PM",The ROKA Make Your Move 200,false
"Sep 2, 2021, 5:43:49 PM",St. Jude Movement Challenge,false
"Oct 1, 2021, 11:24:25 PM",October Running Distance Challenge,false
"Oct 1, 2021, 11:24:26 PM",October Run Climbing Challenge,false
"Oct 1, 2021, 11:24:28 PM",October Running Endurance Challenge,false
"Oct 1, 2021, 11:24:28 PM",October Running Challenge,false
"Oct 1, 2021, 11:24:29 PM",October 5k,true
"Oct 1, 2021, 11:24:30 PM",October 10k,false
"Oct 1, 2021, 11:24:33 PM",October Half Marathon,false
"Nov 3, 2021, 9:41:05 PM",November Walking Challenge,false
"Nov 3, 2021, 9:41:10 PM",November Running Distance Challenge,false
"Nov 3, 2021, 9:41:12 PM",November Cycling Consistency Challenge,false
"Nov 3, 2021, 9:41:12 PM",November Cycling Climbing Challenge,false
"Nov 3, 2021, 9:41:20 PM",November Cycling Challenge,false
"Nov 3, 2021, 9:41:25 PM",November Run Climbing Challenge,false
"Nov 3, 2021, 9:41:28 PM",November Running Endurance Challenge,false
"Nov 3, 2021, 9:41:29 PM",November Running Challenge,false
"Nov 3, 2021, 9:41:31 PM",November 5k,true
"Nov 3, 2021, 9:41:32 PM",November 10k,true
"Nov 3, 2021, 9:41:33 PM",November Half Marathon,false
"Dec 1, 2021, 7:54:03 PM",Le Col Tick Off 2021,false
"Dec 1, 2021, 7:54:04 PM",December Walking Challenge,false
"Dec 1, 2021, 7:54:07 PM",December Running Distance Challenge,false
"Dec 1, 2021, 7:54:10 PM",December Run Climbing Challenge,false
"Dec 1, 2021, 7:54:12 PM",December Running Endurance Challenge,false
"Dec 1, 2021, 7:54:12 PM",December Running Challenge,false
"Dec 1, 2021, 7:54:14 PM",December 10k,false
"Dec 1, 2021, 7:54:14 PM",December 5k,true
"Dec 1, 2021, 7:54:18 PM",December Half Marathon,false
"Jan 9, 2022, 8:48:13 PM",January Walking Distance Challenge,false
"Jan 9, 2022, 8:48:18 PM",January Running Distance Challenge,false
"Jan 9, 2022, 8:48:21 PM",January Run Climbing Challenge,false
"Jan 9, 2022, 8:48:21 PM",January Running Endurance Challenge,false
"Jan 9, 2022, 8:48:24 PM",January Running Challenge,false
"Jan 9, 2022, 8:48:25 PM",January 10k,false
"Jan 9, 2022, 8:48:26 PM",January 5k,true
"Jan 9, 2022, 8:48:26 PM",January Half Marathon,false
"Jan 9, 2022, 8:48:31 PM",January Fresh Start Challenge,false
"Feb 2, 2022, 11:12:10 PM",February Walking Distance Challenge,false
"Feb 2, 2022, 11:12:20 PM",February Running Distance Challenge,false
"Feb 2, 2022, 11:12:25 PM",February Cycling Challenge,false
"Feb 2, 2022, 11:12:27 PM",February Run Climbing Challenge,false
"Feb 2, 2022, 11:12:29 PM",February Running Endurance Challenge,false
"Feb 2, 2022, 11:12:30 PM",February Running Challenge,false
"Feb 2, 2022, 11:12:32 PM",February 5k,true
"Feb 2, 2022, 11:12:33 PM",February 10k,false
"Feb 2, 2022, 11:12:37 PM",February Half Marathon,false
"Feb 2, 2022, 11:12:40 PM",February Gran Fondo,false
"Feb 2, 2022, 11:12:42 PM",February Walk Challenge,false
"Mar 6, 2022, 11:01:35 PM",March Walking Distance Challenge,false
"Mar 6, 2022, 11:01:40 PM",March 5k,false
"Mar 6, 2022, 11:01:45 PM",March 10k,false
"Apr 6, 2022, 10:45:46 PM",Le Col Classics Challenge,true
"Apr 6, 2022, 10:45:51 PM",April Walking Distance Challenge,false
"Apr 6, 2022, 10:45:53 PM",April Half Marathon,false
"Apr 6, 2022, 10:45:54 PM",April 5k,true
"Apr 6, 2022, 10:45:55 PM",April 10k,false
"Apr 6, 2022, 10:45:56 PM",April Run Climbing Challenge,false
"Apr 6, 2022, 10:45:58 PM",April Running Challenge,false
"Apr 6, 2022, 10:45:58 PM",April Running Endurance Challenge,false
"Apr 6, 2022, 10:46:04 PM",April Running Distance Challenge,false
"May 5, 2022, 12:45:47 AM",Enda 5k Run/Walk Challenge,false
"May 5, 2022, 12:45:50 AM",May Walking Distance Challenge,false
"May 5, 2022, 12:45:52 AM",May Half Marathon,false
"May 5, 2022, 12:45:52 AM",May 5k,true
"May 5, 2022, 12:45:55 AM",May 10k,false
"May 5, 2022, 12:45:55 AM",May Run Climbing Challenge,false
"May 5, 2022, 12:45:57 AM",May Running Challenge,false
"May 5, 2022, 12:45:58 AM",May Running Endurance Challenge,false
"May 5, 2022, 12:46:01 AM",May Cycling Climbing Challenge,false
"May 5, 2022, 12:46:02 AM",May Running Distance Challenge,false
"May 5, 2022, 12:46:15 AM",May Collective Challenge,false
"Jun 10, 2022, 12:59:29 AM",Salomon Push Your Pace!,false
"Jun 10, 2022, 12:59:35 AM",June Walking Distance Challenge,false
"Jun 10, 2022, 12:59:35 AM",June Hike Challenge,false
"Jun 10, 2022, 12:59:41 AM",June 5K,true
"Jun 10, 2022, 12:59:42 AM",June Half Marathon,false
"Jun 10, 2022, 12:59:46 AM",June 10k,false
"Jun 10, 2022, 12:59:47 AM",June Run Climbing Challenge,false
"Jun 10, 2022, 12:59:49 AM",June Running Challenge,false
"Jun 10, 2022, 12:59:49 AM",June Running Endurance Challenge,false
"Jul 26, 2022, 3:03:07 PM",July 5K,true
"Jul 26, 2022, 3:03:08 PM",July Half Marathon,false
"Jul 26, 2022, 3:03:12 PM",July 10k,true
"Jul 26, 2022, 3:03:17 PM",July Running Challenge,false
"Aug 7, 2022, 10:54:19 PM",August Walking Distance Challenge,false
"Aug 7, 2022, 10:54:21 PM",August Half Marathon,false
"Aug 7, 2022, 10:54:22 PM",August 5K,true
"Aug 7, 2022, 10:54:23 PM",August 10k,false
"Aug 7, 2022, 10:54:24 PM",August Run Climbing Challenge,false
"Aug 7, 2022, 10:54:25 PM",August Running Challenge,false
"Aug 7, 2022, 10:54:26 PM",August Running Endurance Challenge,false
"Aug 7, 2022, 10:54:29 PM",August Running Distance Challenge,false
"Sep 2, 2022, 7:42:48 PM",September Half Marathon,false
"Sep 2, 2022, 7:42:50 PM",September 5K,true
"Sep 2, 2022, 7:42:56 PM",September Running Distance Challenge,false
"Sep 2, 2022, 7:42:58 PM",September Gran Fondo,false
"Sep 2, 2022, 7:43:02 PM",September Cycling Challenge,false
"Sep 2, 2022, 7:43:08 PM",September Running Challenge,false
"Sep 2, 2022, 7:43:09 PM",September Running Endurance Challenge,false
"Sep 2, 2022, 7:43:11 PM",September Run Climbing Challenge,false
"Sep 2, 2022, 7:43:12 PM",September 10k,false
"Sep 2, 2022, 7:43:15 PM",September Walking Distance Challenge,false
"Sep 2, 2022, 7:43:37 PM",Run PUMA Deviate NITRO 2 Challenge,false
"Sep 2, 2022, 7:43:42 PM",Le Col Threshold 240 Challenge,false
"Sep 2, 2022, 7:43:55 PM",runderwear 10k in 10 Days,false
"Sep 2, 2022, 7:43:57 PM",REI Co-op Sun's Out Run's Out Challenge,true
"Oct 3, 2022, 6:54:40 PM",October Walking Distance Challenge,false
"Oct 3, 2022, 6:54:42 PM",Momentous Gateway to Performance Challenge,true
"Oct 3, 2022, 6:54:43 PM",Le Col Chase The Sun,true
"Oct 3, 2022, 6:54:47 PM",dhb Be Brave,true
"Oct 3, 2022, 6:54:50 PM",Climate Ride | Can't Stop Won't Stop!,false
"Oct 3, 2022, 6:54:52 PM",GOREWEAR No Off-Season,true
"Oct 3, 2022, 6:54:54 PM",LLS Blood Cancer Awareness Month,false
"Oct 3, 2022, 6:54:56 PM",October Run Climbing Challenge,false
"Oct 3, 2022, 6:55:34 PM",October 5K,true
"Oct 3, 2022, 6:55:40 PM",October Running Challenge,false
"Oct 3, 2022, 6:55:44 PM",October Running Distance Challenge,false
"Oct 3, 2022, 6:55:45 PM",October 10k,false
"Oct 3, 2022, 6:55:47 PM",October Running Endurance Challenge,false
"Oct 3, 2022, 6:55:47 PM",October Half Marathon,false
"Oct 3, 2022, 6:55:51 PM",Sur 20 Mile Run Challenge,false
"Oct 3, 2022, 6:55:55 PM",October Cycling Challenge,false
"Dec 24, 2023, 12:37:04 PM",January Fresh Start Challenge,false
"May 9, 2024, 9:58:08 PM",May Ten Days Active Challenge,true
"May 28, 2024, 12:58:32 AM",May 5K x Brooks Challenge,true
"May 28, 2024, 12:58:47 AM",May 400-Minute Challenge,true
"May 28, 2024, 12:58:53 AM",May 10K Challenge,true
"May 28, 2024, 12:58:55 AM",May Run 100K Challenge,true
"May 28, 2024, 12:58:56 AM",May Half Marathon Challenge,true
"May 28, 2024, 12:58:58 AM",May Running Elevation Challenge,false
"May 28, 2024, 12:59:02 AM",June 400-Minute Challenge,true
"May 28, 2024, 12:59:03 AM",May Streak Challenge,true
"May 28, 2024, 12:59:08 AM",June Ten Days Active Challenge,true
"May 28, 2024, 12:59:10 AM",June Streak Challenge,false
"May 28, 2024, 12:59:12 AM",June Half Marathon Challenge,true
"May 28, 2024, 12:59:13 AM",June 10K Challenge,true
"May 28, 2024, 12:59:14 AM",June Run 100K Challenge,true
"May 28, 2024, 12:59:15 AM",June Running Elevation Challenge,false
"May 28, 2024, 12:59:18 AM",June 5K x Brooks Challenge,true
"Jun 2, 2024, 5:37:17 AM",Le Col Keep The Pace Challenge,true
"Jun 4, 2024, 2:58:01 AM",Nature's Bakery Motivated to Move Challenge,true
"Jul 8, 2024, 1:25:47 AM",Toyota Tacoma x Outside Vertical Gains,false
"Aug 4, 2024, 5:42:18 PM",Shokz: A day with Jan Frodeno,true
"Aug 4, 2024, 5:42:22 PM",August 5K x Brooks Challenge,true
"Aug 4, 2024, 5:42:23 PM",Le Col Keep The Momentum,true
"Aug 4, 2024, 5:42:27 PM",Get Sponsored By The Feed,true
"Aug 4, 2024, 5:42:28 PM",ROKA. Sun. Sweat. Sleep. Repeat. 250,true
"Aug 4, 2024, 5:42:56 PM",August 400-Minute Challenge,true
"Aug 4, 2024, 5:42:59 PM",August Ten Days Active Challenge,true
"Aug 4, 2024, 5:43:04 PM",August Swim 5K Challenge,false
"Aug 4, 2024, 5:43:08 PM",August Streak Challenge,false
"Aug 4, 2024, 5:43:16 PM",Eight Sleep Summer of Champions,true
"Mar 31, 2025, 12:17:48 AM",March 5K x Brooks Challenge,true
"Mar 31, 2025, 12:17:51 AM",April 5K x Brooks Challenge,true
"Mar 31, 2025, 12:18:09 AM",Arc’teryx Run Steady Challenge,false
"Mar 31, 2025, 12:18:16 AM",Runna Marathon in April,true
"May 2, 2025, 2:39:11 AM",May 5K x Brooks Challenge,true
"May 2, 2025, 2:39:20 AM",Scotts’ Touch Grass 5K,true
"May 2, 2025, 2:39:31 AM",Set the Tone with Bandit Running,false
"May 2, 2025, 2:40:13 AM",GOREWEAR Dawn to Dusk Challenge,true
"May 16, 2025, 10:26:29 PM",May 400-Minute Challenge,false
"May 16, 2025, 10:26:59 PM","Nike BIG, BIGGER, BIGGEST Challenge",false
"Jun 24, 2025, 3:26:28 AM",June 5K x Brooks Challenge,true
"Jul 7, 2025, 3:04:16 AM",SaltStick Salty Runner Sweepstakes,false
"Jul 7, 2025, 3:04:18 AM",July 10K x Runna Challenge,true
"Jul 7, 2025, 3:04:19 AM",July 5K x Brooks Challenge,true
"Jul 7, 2025, 3:04:21 AM",Everand Move and Listen Challenge,false
"Jul 7, 2025, 3:04:22 AM",Le Col Level Up Challenge,false
"Jul 7, 2025, 3:04:26 AM",Streak for Skratch,false
"Jul 7, 2025, 3:04:30 AM",Get Sponsored By The Feed,false
"Jul 7, 2025, 3:04:34 AM","Move Well, Live Well: ZBiotics Challenge",false
"Jul 7, 2025, 3:04:36 AM",Chase Summer by GOREWEAR,false
"Jul 7, 2025, 3:04:52 AM",July Half Marathon Challenge,true
"Jul 7, 2025, 3:04:54 AM",July Elevation Challenge,false
"Apr 3, 2026, 3:51:18 AM",April 10K Challenge,false
